10,Purchase,2,AL
10,Purchase,1,AR
10,Purchase,1,AZ
10,Purchase,6,CA
10,Purchase,10,CO
10,Purchase,4,CT
10,Purchase,43,FL
10,Purchase,17,GA
10,Purchase,2,IA
10,Purchase,4,ID
10,Purchase,17,IL
10,Purchase,2,IN
10,Purchase,4,KS
10,Purchase,2,KY
10,Purchase,6,LA
10,Purchase,7,MA
10,Purchase,9,MD
10,Purchase,2,ME
10,Purchase,24,MI
10,Purchase,2,MN
10,Purchase,6,MO
10,Purchase,4,MS
10,Purchase,5,MT
10,Purchase,18,NC
10,Purchase,1,ND
10,Purchase,4,NE
10,Purchase,2,NH
10,Purchase,15,NJ
10,Purchase,4,NM
10,Purchase,4,NV
10,Purchase,19,NY
10,Purchase,15,OH
10,Purchase,3,OK
10,Purchase,1,OR
10,Purchase,13,PA
10,Purchase,2,RI
10,Purchase,9,SC
10,Purchase,3,SD
10,Purchase,8,TN
10,Purchase,34,TX
10,Purchase,4,UT
10,Purchase,5,VA
10,Purchase,2,VT
10,Purchase,1,WA
10,Purchase,3,WI
10,Purchase,6,WV
10,Purchase,1,WY
10,Refinance,1,-
10,Refinance,1,AK
10,Refinance,23,AL
10,Refinance,14,AR
10,Refinance,1,AZ
10,Refinance,14,CA
10,Refinance,26,CO
10,Refinance,10,CT
10,Refinance,3,DE
10,Refinance,77,FL
10,Refinance,34,GA
10,Refinance,14,IA
10,Refinance,7,ID
10,Refinance,42,IL
10,Refinance,10,IN
10,Refinance,11,KS
10,Refinance,20,KY
10,Refinance,21,LA
10,Refinance,20,MA
10,Refinance,19,MD
10,Refinance,4,ME
10,Refinance,53,MI
10,Refinance,33,MN
10,Refinance,28,MO
10,Refinance,25,MS
10,Refinance,6,MT
10,Refinance,31,NC
10,Refinance,2,ND
10,Refinance,8,NE
10,Refinance,3,NH
10,Refinance,24,NJ
10,Refinance,10,NM
10,Refinance,1,NV
10,Refinance,50,NY
10,Refinance,22,OH
10,Refinance,14,OK
10,Refinance,38,PA
10,Refinance,4,RI
10,Refinance,21,SC
10,Refinance,2,SD
10,Refinance,16,TN
10,Refinance,124,TX
10,Refinance,10,UT
10,Refinance,23,VA
10,Refinance,2,WA
10,Refinance,26,WI
10,Refinance,3,WV
